timestamp,old_nid,new_deal_id,new_deal_uuid,new_nid,new_property_id,http_code,success
2026-06-22 18:09:47,57729784986,4363026,19c671ca-a27a-4a96-8bd9-a56c1acab2f2,null,5468620,200,true
2026-06-22 17:39:03,54022251169,4363044,988dc457-75b8-4381-8b43-df79a588c340,,5468638,200,True
2026-06-22 17:39:06,55738754362,4363045,4531f730-b88b-4664-991c-8ba72de685d6,,5468639,200,True
2026-06-22 17:39:09,55456048953,4363046,6fefc4c5-ba07-4596-9088-f55d02e48df2,,5468640,200,True
2026-06-22 17:39:12,53442553971,4363047,2e28e60d-93bc-4d87-bfd0-ec4b3632a8de,,5468641,200,True
2026-06-22 17:39:14,56443549759,4363048,ef3136a1-1a28-483f-bfb6-08ae728fd406,,5468642,200,True
2026-06-22 17:39:17,56274768710,4363049,9d4e51e5-ec97-4235-831d-8f6540901b3c,,5468643,200,True
2026-06-22 17:39:17,57556097355,4363050,a347a964-2d71-4d1b-8a55-bd676fe91af1,,5468644,200,True
2026-06-22 17:39:20,53277495067,4363051,c09d1394-36e6-430b-a70c-a9dfe1f72668,,5468645,200,True
2026-06-22 17:39:23,57562573466,4363052,c745c235-7236-4485-9476-c5811bd28cad,,5468646,200,True
2026-06-22 17:39:26,57949557865,4363053,06f4d501-3a1c-411b-bcfb-74964ceea6a6,,5468647,200,True
2026-06-22 17:41:03,53176599896,4363056,34a4523b-1883-4afe-87b7-bd5e25fceb17,,5468650,200,True
2026-06-22 17:41:06,56924733812,4363057,6c1519e1-b316-421a-a0c6-ab1563ae6c01,,5468651,200,True
2026-06-22 17:41:09,55734120359,4363058,a93bd4e6-806d-4316-a00a-e6bbaae4b4c6,,5468652,200,True
2026-06-22 17:41:12,54842724025,4363059,859ffc08-d4d0-4f5d-af13-dec173e5c9ae,,5468653,200,True
2026-06-22 17:41:14,55771058992,4363060,3d4fd665-0c66-44e7-93bf-99876c76c56d,,5468654,200,True
2026-06-22 17:41:17,57033288071,4363061,278a1851-4ae6-4f42-bc80-4f8551da7f8a,,5468655,200,True
2026-06-22 17:41:17,57907052665,4363062,5e722bd0-3d36-45b9-8e5c-0d6aca281af1,,5468656,200,True
2026-06-22 17:41:20,55407784753,4363063,56d96037-e6d6-49da-8619-c690a13cc08f,,5468657,200,True
2026-06-22 17:41:23,57856278354,4363064,98496582-c5fc-4a88-bf2c-4859c46ac358,,5468658,200,True
2026-06-22 17:41:25,55489929797,4363065,ee8f035a-4d09-44e8-85df-66879dc7b104,,5468659,200,True
2026-06-22 17:41:28,56204243860,4363066,ceaab5be-aaae-48f8-9838-addfc648a1e8,,5468660,200,True
2026-06-22 17:41:31,54791669611,4363067,f42ddc6b-a8dd-4d65-93a1-eee94055feb7,,5468661,200,True
2026-06-22 17:41:34,56169199245,4363068,96182fd2-4b72-4864-80ac-d1ab3333c930,,5468662,200,True
2026-06-22 17:41:36,53123369089,4363069,43b3d993-f021-451c-af42-7eb11ca34868,,5468663,200,True
2026-06-22 17:41:39,53892877669,4363070,2b767ba0-ef4e-47b0-b1d6-95567e5594be,,5468664,200,True
2026-06-22 17:41:42,54646869352,4363071,008beff0-0397-414e-86ed-ca341d94b314,,5468665,200,True
2026-06-22 17:41:45,56146050321,4363072,8568fb69-7cf4-4eca-bcca-a94da687e642,,5468666,200,True
2026-06-22 17:41:48,54005646226,4363073,410c48aa-5761-49f0-9228-e3f3e9971949,,5468667,200,True
2026-06-22 17:41:48,57350355525,4363074,238bf6b7-5d67-4394-a288-9c60ca372ef8,,5468668,200,True
2026-06-22 17:41:50,55264668294,4363075,374567ef-9f67-4b95-90b3-c5fb952c304a,,5468669,200,True
2026-06-22 17:41:53,57718477570,4363076,12dc8929-4ca2-419f-9084-9fa82effbd8e,,5468670,200,True
2026-06-22 17:41:56,56758183068,4363077,b4c5e493-3088-4114-a328-4229af1bdfa6,,5468671,200,True
2026-06-22 17:41:59,55200996628,4363078,85ce7706-aab6-4a5a-a896-4022867bc67c,,5468672,200,True
2026-06-22 17:42:02,57320146176,4363079,6fee97b3-6e64-40d1-8b38-ef67d6e86839,,5468673,200,True
2026-06-22 17:42:04,58108893965,4363080,106a8a0b-3ee4-4e96-b7bf-c1550e247ed4,,5468674,200,True
